y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.0,362.0,2007.0,70.0,56.0,12.0,18.0
2.5,358.0,2008.0,70.0,56.0,8.0,23.0
3.5,46.0,2014.0,72.0,2.0,12.0,19.0
2.75,102.0,2016.0,78.0,56.0,11.0,68.0
3.0,287.0,2012.0,65.0,39.0,12.0,46.0
3.5,111.0,2014.0,70.0,56.0,11.0,2.0
2.0,247.0,2006.0,85.0,18.0,12.0,63.0
3.0,309.0,2010.0,75.0,15.0,8.0,19.0
3.25,297.0,2015.0,70.0,4.0,8.0,6.0
4.0,18.0,2016.0,70.0,56.0,12.0,12.0
3.0,350.0,2015.0,70.0,56.0,12.0,27.0
2.75,355.0,2016.0,70.0,57.0,12.0,67.0
2.75,293.0,2013.0,70.0,39.0,12.0,46.0
3.75,314.0,2013.0,75.0,56.0,11.0,2.0
3.0,336.0,2015.0,72.0,56.0,12.0,41.0
3.5,153.0,2015.0,75.0,4.0,12.0,46.0
3.75,100.0,2008.0,70.0,1.0,6.0,67.0
3.0,371.0,2012.0,77.0,56.0,6.0,3.0
2.75,242.0,2014.0,70.0,56.0,12.0,67.0
3.0,346.0,2012.0,70.0,56.0,12.0,18.0
3.0,15.0,2014.0,75.0,56.0,12.0,18.0
3.25,86.0,2015.0,75.0,0.0,11.0,18.0
3.25,345.0,2017.0,77.0,7.0,12.0,45.0
2.75,92.0,2009.0,70.0,7.0,6.0,40.0
2.75,356.0,2015.0,70.0,53.0,6.0,54.0
3.25,310.0,2015.0,80.0,56.0,12.0,46.0
2.75,390.0,2013.0,89.0,27.0,6.0,46.0
2.75,138.0,2013.0,60.0,51.0,12.0,55.0
2.75,401.0,2015.0,70.0,56.0,12.0,57.0
3.75,20.0,2011.0,72.0,56.0,11.0,57.0
3.0,232.0,2016.0,70.0,39.0,12.0,46.0
3.0,7.0,2014.0,75.0,18.0,11.0,37.0
3.0,179.0,2013.0,72.0,55.0,11.0,37.0
3.0,14.0,2007.0,70.0,29.0,11.0,19.0
2.25,52.0,2010.0,75.0,56.0,12.0,67.0
2.75,261.0,2016.0,71.0,56.0,12.0,16.0
3.75,318.0,2015.0,70.0,56.0,12.0,67.0
2.5,220.0,2011.0,70.0,56.0,12.0,18.0
2.5,193.0,2008.0,75.0,14.0,12.0,19.0
2.5,349.0,2012.0,70.0,56.0,12.0,47.0
4.0,343.0,2013.0,88.0,7.0,12.0,26.0
3.0,268.0,2015.0,72.0,56.0,6.0,46.0
3.75,181.0,2011.0,72.0,54.0,6.0,67.0
3.25,111.0,2013.0,70.0,56.0,12.0,67.0
3.25,209.0,2016.0,70.0,56.0,12.0,35.0
3.5,176.0,2009.0,58.0,14.0,8.0,19.0
